Number,X,Y,R1,Desirability,Real,MAE,M1,M2,M3,M4
1.0,3.06,1.987,2.396,1.0,5445.666356,5443.270356,0.06139218191268334,5.975530185682271,8.633934271234638,3.8706331523408415
2.0,-2.891,3.101,0.795,1.0,2778.6196658161007,2777.8246658161006,5.9930027532114485,0.09108238029388539,6.445463520957977,8.14973778719291
3.0,3.601,-1.754,1.296,1.0,21678.141089240093,21676.845089240094,3.8018044399995117,8.056057410421056,7.536726146013267,0.09552486587271407
4.0,-2.819,3.167,0.821,1.0,2299.1962827120997,2298.3752827120998,5.934867311069389,0.03862641583165589,6.521050528864194,8.13318105048695
5.0,-2.821,3.059,2.653,1.0,2414.6603129681007,2412.007312968101,5.916546458872777,0.07375635565834274,6.413947926199589,8.068622806898338
6.0,-3.839,-3.339,0.976,1.0,32700.923205024097,32699.9472050241,8.676222795664023,6.552103173790839,0.08207313811473284,7.571262114073188
7.0,-3.763,-3.311,1.101,1.0,30546.860791656098,30545.7597916561,8.599121466754612,6.512843311488462,0.032249030993194226,7.4912467587178035
8.0,-3.754,-3.256,1.322,1.0,30119.701256225602,30118.379256225602,8.558157044597861,6.4571177780802484,0.036796738985948235,7.471861080079045
9.0,3.534,-1.9,2.936,1.0,20711.2021952336,20708.2661952336,3.9363887003191134,8.092829047990573,7.44262440272247,0.07213875518748579
10.0,3.65,-1.869,0.818,1.0,23085.189724999997,23084.371724999997,3.923220743215961,8.164987752593387,7.562369800532106,0.069260378283691
11.0,3.539,-1.745,2.343,1.0,20368.369477944103,20366.026477944102,3.783589036880195,8.001356884928956,7.477871889782547,0.11240106761058806
12.0,-2.749,3.132,0.317,1.0,1972.1183860001,1971.8013860001,5.859387766652759,0.05600892785976184,6.497162842348959,8.056506004466204
13.0,3.52,-1.848,1.892,1.0,20279.553856000002,20277.661856000002,3.8829761781396495,8.049600362750935,7.438724756300639,0.06400000000000006
14.0,3.037,2.056,1.602,1.0,5141.267207216099,5139.6652072161,0.06711929677819933,5.940083248574889,8.658104700221637,3.9421345740600993
15.0,3.049,1.894,0.88,1.0,5483.752457480098,5482.872457480098,0.1167775663387451,5.9832670841272,8.568717115181245,3.7800514546762454
,,,,,,,,,,
RESUMEN,,,,,1972.1183860001,15000.204950967745,0.06139218191268334,0.03862641583165589,0.032249030993194226,0.06400000000000006
