Number,X,Y,R1,Real,MAE,Dist_Minimo
1,4.0,-0.056,17.798,12.09571831898968,5.702281681010318,2.232720761761309
2,4.0,-0.133,17.814,25.211458319571552,7.397458319571552,4.022402888821556
3,4.0,-0.195,17.85,37.87520475636941,20.025204756369412,1.4843180252223578
4,4.0,0.173,17.938,19.08306047757453,1.1450604775745319,0.34584534115699755
5,0.816,-1.57,19.313,37.33000000000001,18.017000000000014,4.162931659299729
6,0.939,-4.0,20.282,34.299660112501044,14.017660112501044,4.525483399593905
7,1.12,-4.0,20.395,40.361716956894256,19.966716956894256,1.533101431738944
8,-4.0,-1.271,22.415,23.13920466520979,0.7242046652097898,4.01100049862874
9,-4.0,-1.268,22.415,36.93412045216233,14.519120452162333,2.691554383622965
10,-4.0,-1.2,22.44,32.64441691039328,10.204416910393281,4.1962364089741175
11,-4.0,-1.102,22.557,19.96471372578589,2.592286274214107,4.153841595439094
12,4.0,4.0,23.867,6.541218652925179,17.325781347074823,1.9993679001124331
13,1.278,4.0,24.182,22.698055638473498,1.4839443615265004,1.4490472732109192
14,1.406,4.0,24.214,26.59745939634271,2.3834593963427118,4.07339232090404
15,-4.0,4.0,32.359,21.289009235804958,11.069990764195044,0.5102489588426418
RESUMEN,,,,6.541218652925179,9.771639098335982,0.34584534115699755
