Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,4.0,0.0,19.236,0.737,12.09571831898968,7.14028168101032,2.232720761761309
2,4.0,-0.051,19.243,0.737,25.211458319571552,5.968458319571553,4.022402888821556
3,4.0,-0.112,19.268,0.737,37.87520475636941,18.607204756369413,1.4843180252223578
4,4.0,-0.155,19.295,0.736,19.08306047757453,0.21193952242547098,0.34584534115699755
5,1.022,-4.0,20.053,0.721,37.33000000000001,17.27700000000001,4.162931659299729
6,1.064,-4.0,20.058,0.72,34.299660112501044,14.241660112501044,4.525483399593905
7,0.939,-4.0,20.076,0.72,40.361716956894256,20.285716956894255,1.533101431738944
8,0.928,-1.673,20.811,0.705,23.13920466520979,2.328204665209789,4.01100049862874
9,-4.0,-1.239,24.557,0.627,36.93412045216233,12.377120452162334,2.691554383622965
10,-4.0,-1.233,24.557,0.627,32.64441691039328,8.087416910393284,4.1962364089741175
11,-4.0,-1.2,24.563,0.627,19.96471372578589,4.598286274214107,4.153841595439094
12,1.116,4.0,28.03,0.556,6.541218652925179,21.488781347074823,1.9993679001124331
13,1.049,4.0,28.039,0.555,22.698055638473498,5.340944361526503,1.4490472732109192
14,0.965,4.0,28.074,0.555,26.59745939634271,1.4765406036572912,4.07339232090404
15,-4.0,4.0,32.185,0.47,21.289009235804958,10.895990764195044,0.5102489588426418
RESUMEN,,,,,6.541218652925179,10.021703115147016,0.34584534115699755
