Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.42,-0.516,-314.071,1.0,48.278176,362.34917600000006,1.6231623455464952
2,0.75,1.38,-77.348,1.0,66.89312499999998,144.24112499999998,0.45486261662176625
3,0.68,1.2,-161.897,1.0,54.50777599999998,216.40477599999997,0.37735924528226406
4,0.6,-0.26,-399.762,1.0,38.6,438.362,1.3219682295728594
5,0.708,-0.312,-344.54,1.0,66.2250973696,410.7650973696,1.3441011866671349
6,-0.188,0.2,-277.294,1.0,4.122503833600001,281.41650383359996,1.432251374584783
7,0.4,0.889,-290.193,1.0,53.504099999999994,343.6971,0.610181120651893
8,-0.195,1.027,-32.002,1.0,99.23518006249999,131.2371800625,1.1953049820025015
9,0.194,-0.6,-236.183,1.0,41.307602849599995,277.4906028496,1.7915457013428377
10,0.701,-0.576,-210.34,1.0,114.02389048009996,324.36389048009994,1.604112527224945
11,0.9,-0.42,-182.353,1.0,151.29999999999998,333.653,1.4235167719419395
12,1.103,0.416,-201.313,1.0,64.10808608810002,265.4210860881,0.5930134905716733
13,0.237,1.285,-66.696,1.0,151.5847316561,218.2807316561,0.8144900244938547
14,-0.556,0.449,-6.206,1.0,4.377329849599999,10.583329849599998,1.6506777395966785
15,0.61,-0.652,-193.27,1.0,105.030181,298.300181,1.6974109696829465
RESUMEN,,,,,4.122503833600001,270.43771867928,0.37735924528226406
