Number,X,Y,R1,Desirability,Unnamed: 5,Unnamed: 6,Real,MAE,Dist_Minimo
1.0,1.02,1.043,0.002,1.0,,,0.0010759999999999672,0.0009240000000000329,0.04742362280551745
2.0,0.917,0.835,0.01,1.0,,,0.010357032100000163,0.00035703210000016285,0.1846997563615069
3.0,0.899,0.807,0.01,1.0,,,0.010345240099999998,0.000345240099999998,0.2178302091079196
4.0,0.933,0.864,0.008,1.0,,,0.008699712100000093,0.0006997121000000932,0.15160804727981952
5.0,0.986,0.971,0.0,1.0,,,0.00033904159999999435,0.00033904159999999435,0.03220248437620927
6.0,0.968,0.932,0.004,1.0,,,0.003548057599999919,0.0004519424000000811,0.07515317691222372
7.0,1.027,1.058,0.001,1.0,,,0.0017989441000001562,0.0007989441000001562,0.06397655820689326
8.0,1.059,1.126,0.006,1.0,,,0.0055231360999999386,0.00047686390000006157,0.13912943613772022
9.0,1.09,1.183,0.009,1.0,,,0.010701000000000122,0.0017010000000001226,0.20393381279228817
10.0,0.922,0.849,0.006,1.0,,,0.006201505600000012,0.00020150560000001174,0.16995587662684689
11.0,1.075,1.152,0.007,1.0,,,0.006939062499999986,6.0937500000014105e-05,0.16949631264425774
12.0,1.013,1.02,0.003,1.0,,,0.003974656099999836,0.0009746560999998356,0.023853720883753086
13.0,1.053,1.112,0.003,1.0,,,0.0038272481000000995,0.0008272481000000994,0.12390722335683266
14.0,1.0,0.995,0.002,1.0,,,0.0025000000000000044,0.0005000000000000043,0.0050000000000000044
15.0,0.976,0.947,0.004,1.0,,,0.0036851776000000297,0.0003148223999999704,0.05818075283115548
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
RESUMEN,,,,,,,0.00033904159999999435,0.0005981964000000426,0.0050000000000000044
